n_itens,capacidade,algoritmo,valor,tempo_ms
5,94,Exata,115,0.000000
5,94,PD,115,0.002200
5,94,Gulosa,91,0.000100
10,141,Exata,360,0.100000
10,141,PD,360,0.007200
10,141,Gulosa,360,0.000300
15,223,Exata,526,2.880000
15,223,PD,526,0.015400
15,223,Gulosa,521,0.000500
20,279,Exata,855,109.440000
20,279,PD,855,0.024200
20,279,Gulosa,855,0.000900
22,338,Exata,842,467.020000
22,338,PD,842,0.031800
22,338,Gulosa,836,0.000800
24,320,Exata,1098,2107.260000
24,320,PD,1098,0.033800
24,320,Gulosa,1098,0.001300
